"1784022","cgt_mky","86","2012-10-29 20:39:50","0"
"7133445","Spark046","11","2016-11-08 19:19:57","0"
"9949259","lincollincol","34","2018-06-16 05:25:37","0"
"205592","wingoo","36","2009-11-07 13:56:22","0"
"6801499","gilgameshbk","46","2016-09-06 17:53:16","0"
"853807","Sicioldr","198","2011-07-20 11:18:39","0"
"2747368","CJ Alpha","322","2013-09-04 14:42:38","0"
"5521276","ematalb","13","2015-11-03 17:31:00","0"
"10920875","Codito ergo sum","104","2019-01-16 07:08:05","0"
"2427661","Yashwanth Gurrapu","104","2013-05-28 08:20:41","0"
"114685","user114685","21","2009-05-30 05:10:12","0"
"9998888","Vasanth chakravarthy","11","2018-06-27 09:03:00","0"
"1139169","rabbidrabbit","360","2012-01-09 16:52:02","2"
"4879760","Radoslaw Garbacz","96","2015-05-08 16:18:26","0"
"3171449","srdzdv","20","2014-01-08 02:09:07","0"
"4225165","Fletch","155","2014-11-07 01:32:39","1"
"2904327","Kiddo","662","2013-10-21 18:07:48","1"
"2983359","user2983359","147","2013-11-12 13:11:18","0"
"1053917","JasonBourne","90","2011-11-18 13:43:27","0"
"3787492","NINlol","20","2014-06-29 10:15:02","0"
"2152434","pierogieExpress","26","2013-03-09 20:46:50","0"
"766028","Evolved","501","2011-05-23 12:52:55","0"
"5809851","Taylor Lively","21","2016-01-19 10:23:55","0"
"1979481","user1979481","39","2013-01-15 07:04:36","0"
"1923817","Joshua Martin","21","2012-12-22 16:23:54","0"
